fold,accuracy,macro_f1,balanced_acc,kappa,feature_set,model
1,0.9052830188679245,0.5528966916392912,0.5637033631952632,0.7575604048739416,statistical,LogisticRegression
2,0.8366619115549215,0.6731825698234016,0.7238341928687697,0.703151755433838,statistical,LogisticRegression
3,0.6730906495360457,0.5480284343766536,0.6420291346926131,0.49071407084752405,statistical,LogisticRegression
1,0.8683018867924528,0.4984450156954893,0.4844154777620977,0.6426623001288942,statistical,RandomForest
2,0.7696148359486448,0.6220302312185015,0.6941752404250259,0.5887286963601692,statistical,RandomForest
3,0.7947894361170592,0.5973840409265947,0.6507750681762413,0.6243439746862655,statistical,RandomForest
1,0.930188679245283,0.7281400605053314,0.7270609644874837,0.8288661074954725,spectral,LogisticRegression
2,0.7314550641940085,0.6409465957451912,0.7556287354362812,0.5594729060894377,spectral,LogisticRegression
3,0.738401142041399,0.5431570724126985,0.6176870125778315,0.540066844695252,spectral,LogisticRegression
1,0.8652830188679246,0.6154187638525579,0.675733297752271,0.7006547909472162,spectral,RandomForest
2,0.8648359486447932,0.6251151015358303,0.6377915304334971,0.7116120337951849,spectral,RandomForest
3,0.7287651677373305,0.5404649336521006,0.5873869100452987,0.513136948409005,spectral,RandomForest
1,0.8720754716981132,0.5502109196243221,0.5661679974507214,0.7050506324002053,complexity,LogisticRegression
2,0.8830242510699001,0.6512795723549769,0.6528677739082744,0.751270674662393,complexity,LogisticRegression
3,0.7355460385438972,0.5353818503354997,0.5905480041488191,0.5098149991819556,complexity,LogisticRegression
1,0.8916981132075472,0.6198684394967594,0.6359605069045575,0.7480018740403661,complexity,RandomForest
2,0.8815977175463623,0.6273219964552645,0.6465071384482692,0.7508768155152324,complexity,RandomForest
3,0.8622412562455389,0.6568637940838025,0.686255849566255,0.7324870444791376,complexity,RandomForest
1,0.919622641509434,0.6547029260859436,0.6548401115780252,0.808077703283947,stat+complexity,LogisticRegression
2,0.9165477888730386,0.7687086478782368,0.7727476568640093,0.8355656434503909,stat+complexity,LogisticRegression
3,0.8094218415417559,0.6707056457587577,0.7541819833827652,0.6672946023326121,stat+complexity,LogisticRegression
1,0.9075471698113208,0.609541049925021,0.613983521991451,0.7779749813625514,stat+complexity,RandomForest
2,0.8769614835948645,0.7251175337736279,0.78319327648424,0.7664191489068871,stat+complexity,RandomForest
3,0.8822269807280514,0.691439452014466,0.7151664451799942,0.7709544727860741,stat+complexity,RandomForest
1,0.9430188679245283,0.7360587099278307,0.7520195591192431,0.8634679648725576,spectral+complexity,LogisticRegression
2,0.8755349500713266,0.7598353560781319,0.8251254491917125,0.7720275282660463,spectral+complexity,LogisticRegression
3,0.8715203426124197,0.6634161290773182,0.708495860620252,0.7534714813926837,spectral+complexity,LogisticRegression
1,0.9128301886792453,0.6555484442392278,0.6997080906626397,0.7963580983708648,spectral+complexity,RandomForest
2,0.8969329529243937,0.6782354100346536,0.6921438557384856,0.7836618448901485,spectral+complexity,RandomForest
3,0.854389721627409,0.6436792156558567,0.6502736051467718,0.7149434183570678,spectral+complexity,RandomForest
1,0.9430188679245283,0.7232199178595666,0.7466777030749886,0.8638138652221826,all,LogisticRegression
2,0.8944365192582026,0.7752419423851794,0.8266276588534124,0.8021970374741362,all,LogisticRegression
3,0.8665239114917915,0.6958123571062853,0.7435046571697046,0.751231323619479,all,LogisticRegression
1,0.9222641509433962,0.6536248924756458,0.667514393219924,0.8136195332464992,all,RandomForest
2,0.8880171184022825,0.7549340798211845,0.8123743398561525,0.7868352249575767,all,RandomForest
3,0.8882940756602427,0.7067733043842238,0.7243589046524321,0.782470898594263,all,RandomForest
